N,g(N)
813000.000000,0.443618
814000.000000,0.449673
815000.000000,0.458173
816000.000000,0.442740
817000.000000,0.434944
818000.000000,0.427518
819000.000000,0.439294
820000.000000,0.428178
821000.000000,0.443686
822000.000000,0.450192
823000.000000,0.437371
824000.000000,0.436616
825000.000000,0.455570
826000.000000,0.442721
827000.000000,0.454014
828000.000000,0.442582
829000.000000,0.451502
830000.000000,0.449611
831000.000000,0.444079
832000.000000,0.439850
833000.000000,0.441062
834000.000000,0.433553
835000.000000,0.438916
836000.000000,0.447853
837000.000000,0.436629
838000.000000,0.444090
839000.000000,0.451448
840000.000000,0.452983
841000.000000,0.440764
842000.000000,0.444871
843000.000000,0.439999
844000.000000,0.446121
845000.000000,0.445927
846000.000000,0.452306
847000.000000,0.431194
848000.000000,0.446129
849000.000000,0.439709
850000.000000,0.447264
851000.000000,0.436973
852000.000000,0.438343
853000.000000,0.448830
854000.000000,0.455617
855000.000000,0.434605
856000.000000,0.444065
857000.000000,0.454921
858000.000000,0.454287
859000.000000,0.454202
860000.000000,0.448177
861000.000000,0.451059
862000.000000,0.443677
863000.000000,0.441658
864000.000000,0.461902
865000.000000,0.446131
866000.000000,0.447719
867000.000000,0.451734
868000.000000,0.441800
869000.000000,0.420366
870000.000000,0.436042
871000.000000,0.439861
872000.000000,0.455720
873000.000000,0.441771
874000.000000,0.447158
875000.000000,0.440735
876000.000000,0.447411
877000.000000,0.439484
878000.000000,0.449022
879000.000000,0.436999
880000.000000,0.440351
881000.000000,0.439199
882000.000000,0.438743
883000.000000,0.446942
884000.000000,0.427470
885000.000000,0.443289
886000.000000,0.433031
887000.000000,0.441421
888000.000000,0.443461
889000.000000,0.430081
890000.000000,0.438070
891000.000000,0.448431
892000.000000,0.438302
893000.000000,0.449700
894000.000000,0.439600
895000.000000,0.438660
896000.000000,0.441680
897000.000000,0.438613
898000.000000,0.439704
899000.000000,0.438324
900000.000000,0.448618
901000.000000,0.454444
902000.000000,0.441372
903000.000000,0.437947
904000.000000,0.443852
905000.000000,0.459342
906000.000000,0.439148
907000.000000,0.448579
908000.000000,0.422189
909000.000000,0.435012
910000.000000,0.442391
911000.000000,0.434716
912000.000000,0.445780
913000.000000,0.444768
914000.000000,0.432049
915000.000000,0.424824
916000.000000,0.431644
917000.000000,0.431378
918000.000000,0.451834
919000.000000,0.446718
920000.000000,0.442599
921000.000000,0.440261
922000.000000,0.449916
923000.000000,0.443696
924000.000000,0.439499
925000.000000,0.441103
926000.000000,0.438260
927000.000000,0.443032
928000.000000,0.435896
929000.000000,0.451516
930000.000000,0.439198
931000.000000,0.436038
932000.000000,0.433907
933000.000000,0.449018
934000.000000,0.434875
935000.000000,0.435954
936000.000000,0.425166
937000.000000,0.427977
938000.000000,0.441439
939000.000000,0.450297
940000.000000,0.438601
941000.000000,0.453549
942000.000000,0.447208
943000.000000,0.445089
944000.000000,0.445637
945000.000000,0.437042
946000.000000,0.433621
947000.000000,0.437751
948000.000000,0.438175
949000.000000,0.437746
950000.000000,0.445733
951000.000000,0.459417
952000.000000,0.447783
953000.000000,0.442660
954000.000000,0.428562
955000.000000,0.449359
956000.000000,0.447880
957000.000000,0.439130
958000.000000,0.443032
959000.000000,0.436038
960000.000000,0.435756
961000.000000,0.436313
962000.000000,0.434295
963000.000000,0.444116
964000.000000,0.446015
965000.000000,0.436041
966000.000000,0.427889
967000.000000,0.449692
968000.000000,0.444467
969000.000000,0.437893
970000.000000,0.436254
971000.000000,0.437500
972000.000000,0.452877
973000.000000,0.436567
974000.000000,0.450977
975000.000000,0.440366
976000.000000,0.431617
977000.000000,0.430987
978000.000000,0.443449
979000.000000,0.450258
980000.000000,0.428695
981000.000000,0.446121
982000.000000,0.441505
983000.000000,0.446641
984000.000000,0.439537
985000.000000,0.446878
986000.000000,0.441592
987000.000000,0.444426
988000.000000,0.442094
989000.000000,0.455903
990000.000000,0.444696
991000.000000,0.440966
992000.000000,0.452415
993000.000000,0.443160
994000.000000,0.436506
995000.000000,0.443879
996000.000000,0.431102
997000.000000,0.439181
998000.000000,0.442022
999000.000000,0.452652
1000000.000000,0.448739
1001000.000000,0.449703
1002000.000000,0.453692
1003000.000000,0.434945
1004000.000000,0.461819
1005000.000000,0.432425
1006000.000000,0.445079
1007000.000000,0.436486
1008000.000000,0.443713
1009000.000000,0.445114
1010000.000000,0.434855
1011000.000000,0.436331
1012000.000000,0.433356
1013000.000000,0.429451
1014000.000000,0.433611
1015000.000000,0.459080
1016000.000000,0.435992
1017000.000000,0.442544
1018000.000000,0.425250
