Random Max Range,Average Numbers Generated
1538000,545.916000
1539000,546.614000
1540000,548.579000
1541000,543.761000
1542000,549.472000
1543000,548.269000
1544000,549.260000
1545000,547.279000
1546000,524.494000
1547000,554.357000
1548000,536.911000
1549000,539.471000
1550000,539.744000
1551000,570.693000
1552000,545.676000
1553000,547.660000
1554000,533.732000
1555000,531.376000
1556000,531.527000
1557000,542.326000
1558000,541.825000
1559000,533.788000
1560000,554.185000
1561000,564.904000
1562000,560.280000
1563000,535.966000
1564000,551.818000
1565000,559.247000
1566000,539.284000
1567000,551.342000
1568000,545.505000
1569000,531.688000
1570000,553.043000
1571000,549.620000
1572000,543.373000
1573000,540.984000
1574000,553.035000
1575000,539.253000
1576000,543.671000
1577000,544.079000
1578000,549.386000
1579000,571.351000
1580000,543.263000
1581000,546.750000
1582000,542.993000
1583000,539.897000
1584000,538.684000
1585000,552.971000
1586000,543.870000
1587000,551.269000
1588000,531.424000
1589000,538.403000
1590000,537.030000
1591000,544.019000
1592000,542.954000
1593000,576.194000
1594000,565.196000
1595000,543.439000
1596000,538.260000
1597000,549.213000
1598000,543.830000
1599000,555.285000
1600000,554.413000
1601000,551.647000
1602000,547.762000
1603000,559.365000
1604000,541.356000
1605000,540.130000
1606000,558.264000
1607000,541.908000
1608000,538.402000
1609000,547.823000
1610000,550.569000
1611000,568.147000
1612000,535.638000
1613000,561.149000
1614000,547.844000
1615000,552.615000
1616000,534.595000
1617000,539.219000
1618000,558.034000
1619000,534.096000
1620000,550.874000
1621000,571.465000
1622000,558.521000
1623000,546.293000
1624000,564.570000
1625000,549.772000
1626000,558.969000
1627000,553.687000
1628000,550.831000
1629000,542.174000
1630000,545.184000
1631000,546.480000
1632000,553.541000
1633000,563.465000
1634000,545.636000
1635000,539.288000
1636000,551.684000
1637000,554.033000
1638000,552.323000
1639000,569.032000
1640000,561.314000
1641000,575.672000
1642000,553.790000
1643000,561.199000
1644000,566.548000
1645000,555.121000
1646000,526.638000
1647000,557.124000
1648000,577.617000
1649000,544.408000
1650000,576.522000
1651000,567.237000
1652000,563.026000
1653000,547.266000
1654000,559.337000
1655000,567.800000
1656000,564.103000
1657000,560.154000
1658000,571.214000
1659000,549.706000
1660000,538.039000
1661000,570.893000
1662000,554.922000
